الترتيب بعد التصفية	الكلمة
1	الـ
2	و
3	فِي
4	مِن
5	بِـ
6	لِـ.
7	على
8	أنَّ
9	إلى
10	كان
11	لا
12	ما
13	الله
14	أنْ
15	عن
16	قال
17	هذا
18	مع
19	التي
20	كُل
21	هو
22	فـ
23	هذه
24	إنَّ
25	أو
26	الذي
27	أنا
28	يوم
29	لم
30	بعد
31	بَيْنَ
32	قد
33	هي
34	يا
35	ذلك
36	عمل
37	لكن
38	آخر
39	عام
40	شيء
41	عِند
42	أول
43	نفس
44	إذا
45	غير
46	حتى
47	أي
48	عربي
49	عَرَفَ
50	صدر
51	رئيس
52	بعض
53	دولة
54	مثل
55	إلا
56	كما
57	أنت
58	كثير
59	لأن
60	واحد
61	ليس
62	إنْ
63	جدِيد
64	قبل
65	أحد
66	أكثر
67	كبير
68	أخ
69	حالة
70	كيف
71	أمر.مفردأمور
72	سنة
73	قوة
74	هل
75	عالم
76	خِلال
77	مَنْ
78	رأى
79	هناك
80	مرة
81	تم
82	أب
83	حيثُ
84	ثانِ
85	أم
86	جميع
87	حق
88	منطقة
89	أمريكي
90	لو
91	أمكن
92	اسم
93	رجل
94	وضع
95	حياة
96	موضوع
97	وزير
98	بلد
99	نحن
100	وقت
101	مجلِس
102	ثم
103	قام
104	حُكومة
105	بيت
106	شكل
107	دُون
108	سياسي
109	فلسطيني
110	قلب
111	جاء
112	عاد
113	سبب
114	ألف
115	حب
116	عِلم
117	ناس
118	راح
119	حين
120	آن
121	طريق
122	أرض
123	عذذ
124	شركة
125	عين
126	دُولي/دولي
127	صُورة
128	شعب
129	شاء
130	حول
131	أهل
132	أراد
133	الذين
134	تلك
135	وجه
136	عملية
137	خاص
138	أما
139	فِعل
140	عنى
141	وجد
142	نظر
143	خير
144	شو
145	جد
146	طيب
147	وطني
148	مدينة
149	ابن
150	أيض
151	يد
152	مشروع
153	سـ
154	ثلاثة
155	صوت
156	أمام
157	سمع
158	نِسبة
159	شهر
160	بل
161	برنامج
162	هُنا
163	لن
164	دور
165	حرب
166	عِندما
167	شكر
168	هُم
169	بدأ
170	كلمة
171	مكان
172	طِفل
173	منذ
174	لدى
175	عِراقي
176	طالب
177	ذكر
178	أصبح
179	مشكلة
180	صار
181	أخَذَ
182	رد
183	عشرة
184	شيخ
185	إسلامي
186	هدف
187	ساعة
188	سيِّد
189	أكد
190	سلام
191	صاحب
192	نعم
193	عدم
194	ها
195	أكبر
196	رب
197	بحث
198	حركة
199	كِتاب
200	حد
201	نِظام
202	ذات
203	ماض
204	قضية
205	إنسان
206	حدث
207	أخير
208	رغم/رغم
209	جانِب
210	رأس
211	جامعة
212	قرار
213	لقد
214	لبناني
215	مازال
216	حل
217	تحت
218	وِزارة
219	مر
220	لما
221	مركز
222	علاقة
223	متحد
224	حكى
225	حدِيث
226	نتيجة
227	نحو
228	أخت
229	طلب
230	رأي
231	مسلم
232	إدارة
233	صغير
234	قانون
235	استطاع
236	إسرائيلي
237	أمس
238	ماء
239	وقف
240	أمن
241	قَدَّم
242	شخص
243	شعر
244	موقع
245	أجْل
246	مِئة/مائة
247	كلام
248	أمة
249	داخل
250	وحدة
251	مِليون
252	ظل
253	سيارة
254	دخل
255	بنت
256	مهم
257	سلم
258	دُكتور
259	حلو
260	لجنة
261	حكم
262	بقي
263	وجب
264	فريق
265	مختلف
266	مجال
267	ملِك
268	حمل
269	فترة
270	شأن
271	سؤال
272	وُجود
273	فكر
274	مستوى
275	فقط
276	وِلاية
277	ماذا
278	خبر
279	عضو
280	عـ
281	عبر
282	عُمُرْ
283	دائم
284	سابِق
285	دراسة
286	تاريخ
287	موقف
288	حزب
289	مؤسسة
290	أضاف
